OPEN,CLOSE,HIGH,LOW,VOLUME,Return,QPL,QPL+,QPL-,MA5,MA21,RSI
1825.64000000000010004,1842.79999999999995453,1845.35999999999989996,1819.72000000000002728,164208,,1829.97261902343961992,1828.47935648440193290,1822.80505261391090244,1842.79999999999995453,1842.79999999999995453,
1815.53999999999996362,1826.09999999999990905,1828.65000000000009095,1808.70000000000004547,168778,-0.00906229650531798,1819.84864964714597591,1818.36364829412764266,1812.72073641170186420,1834.44999999999981810,1834.44999999999981810,
1836.64000000000010004,1815.29999999999995453,1843.52999999999997272,1813.10999999999989996,165393,-0.00591424346968950,1840.99872428474964181,1839.49646441440381750,1833.78797124997981882,1828.06666666666660603,1828.06666666666660603,
1835.14000000000010004,1836.90000000000009095,1841.63000000000010914,1818.00999999999999091,168546,0.01189885969261284,1839.49516447638916361,1837.99413151485805429,1832.29030052687949137,1830.27500000000009095,1830.27500000000009095,
1833.29999999999995453,1835.40000000000009095,1845.26999999999998181,1829.91000000000008185,172271,-0.00081659317328109,1837.65079777813343753,1836.15126982474862416,1830.45315777320979578,1831.29999999999995453,1831.29999999999995453,
1814.39000000000010004,1830.40000000000009095,1843.17000000000007276,1812.68000000000006366,155593,-0.00272420180887001,1818.69592046073626079,1817.21185973780939094,1811.57252219065844656,1828.82000000000016371,1831.14999999999986358,
1786.49000000000000909,1814.50000000000000000,1818.61999999999989086,1781.89000000000010004,170143,-0.00868662587412594,1790.72970802523195744,1789.26846780625919564,1783.71584674099244694,1826.50000000000000000,1828.77142857142848698,
1778.01999999999998181,1786.40000000000009095,1787.85999999999989996,1770.28999999999996362,150472,-0.01548635987875446,1782.23960697402344522,1780.78529470015791958,1775.25899939121927673,1820.72000000000002728,1823.47499999999990905,
1792.53999999999996362,1778.40000000000009095,1798.88000000000010914,1770.78999999999996362,157603,-0.00447828034034936,1796.79406591895235579,1795.32787716776033449,1789.75645199083032821,1809.01999999999998181,1818.46666666666669698,
1768.00000000000000000,1792.29999999999995453,1797.80999999999994543,1765.73000000000001819,165810,0.00781601439496171,1772.19582745417551450,1770.74971093119279431,1765.25455896090920760,1800.40000000000009095,1815.84999999999990905,
1771.84999999999990905,1768.50000000000000000,1773.54999999999995453,1764.16000000000008185,153118,-0.01327902694861349,1776.05496429563390848,1774.60569870669314696,1769.09858048353316917,1788.01999999999998181,1811.54545454545450411,
1781.68000000000006366,1771.74000000000000909,1789.81999999999993634,1756.06999999999993634,151123,0.00183206106870237,1785.90829290642295746,1784.45098697504954544,1778.91331595558426670,1779.46800000000007458,1808.22833333333346673,
1775.67000000000007276,1781.09999999999990905,1782.45000000000004547,1762.43000000000006366,153480,0.00528294219242098,1779.88402994092552944,1778.43163982420310276,1772.91264859169564261,1778.40800000000012915,1806.14153846153840277,
1780.80999999999994543,1776.31999999999993634,1786.00000000000000000,1773.63000000000010914,150563,-0.00268373477064732,1785.03622821757380734,1783.57963389331280268,1778.04466693618587669,1777.99200000000018917,1804.01142857142849607,
1775.79999999999995453,1781.09999999999990905,1783.36999999999989086,1768.79999999999995453,149165,0.00269095658439911,1780.01433845764995567,1778.56184200883035373,1773.04244672103072844,1775.75199999999995271,1802.48399999999992360,31.57769019467332328
1783.30999999999994543,1776.20000000000004547,1795.77999999999997272,1769.82999999999992724,149039,-0.00275110886530783,1787.54216123150786188,1786.08352205922233225,1780.54078480801967999,1777.29199999999991633,1800.84124999999994543,33.97147629448799933
1793.53999999999996362,1783.45000000000004547,1797.67000000000007276,1777.25000000000000000,153318,0.00408174755095136,1797.79643912452615950,1796.32943243412410084,1790.75489913956403143,1779.63400000000001455,1799.81823529411758500,39.53060285319835288
1778.40000000000009095,1793.32999999999992724,1798.78999999999996362,1776.02999999999997272,149564,0.00553982449746271,1782.62050879214143606,1781.16588570137628267,1775.63840930773812943,1782.07999999999992724,1799.45777777777789197,34.48251299950126736
1770.42000000000007276,1778.47000000000002728,1780.23000000000001819,1763.45000000000004547,152518,-0.00828626075513150,1774.62157061166385574,1773.17347467579315889,1767.67080106084449653,1782.50999999999976353,1798.35315789473679615,31.48617886178851677
1776.10999999999989996,1770.75000000000000000,1790.02999999999997272,1766.61999999999989086,144711,-0.00434080979718521,1780.32507415137774842,1778.87232414140294168,1773.35196533713815370,1780.44000000000005457,1796.97299999999995634,30.93883811593266842
1763.08999999999991815,1775.25999999999999091,1784.69000000000005457,1759.55999999999994543,148442,0.00254694338557115,1767.27417501480908868,1765.83207457334628998,1760.35218346062742967,1780.25199999999995271,1795.93904761904764200,36.47642679900737051
1735.42000000000007276,1763.31999999999993634,1769.47000000000002728,1734.19000000000005457,161165,-0.00672577537938113,1739.53850841658686477,1738.11904035306019978,1732.72515085517034095,1776.22600000000011278,1792.15428571428560645,41.04871237977030063
1745.28999999999996362,1736.05999999999994543,1749.15000000000009095,1732.43000000000006366,147229,-0.01545947417371774,1749.43193195559842934,1748.00439083207083968,1742.57982421317024091,1764.77200000000016189,1787.86666666666656056,35.71332163584818886
1731.95000000000004547,1744.94000000000005457,1748.80999999999994543,1723.46000000000003638,152421,0.00511503058650042,1736.06027339324646164,1734.64364357877775547,1729.26053924906500470,1758.06600000000003092,1784.51619047619055891,33.45906677842972954
1743.07999999999992724,1732.42000000000007276,1744.79999999999995453,1727.25999999999999091,155017,-0.00717503180625123,1747.21668717128068238,1745.79095369340689103,1740.37325601446923429,1750.40000000000009095,1779.54095238095237619,36.32089778586593098
1755.13000000000010914,1743.27999999999997272,1757.20000000000004547,1731.09999999999990905,157830,0.00626868773161227,1759.29528429844322091,1757.85969465309062798,1752.40454415670865274,1744.00400000000013279,1775.15428571428560645,39.79928315412180950
1736.82999999999992724,1755.09999999999990905,1758.50999999999999091,1732.96000000000003638,161586,0.00678032215134694,1740.95185463644543233,1739.53123327863318082,1734.13296133488438500,1742.35999999999989996,1771.56857142857120380,40.84249084249081108
