OPEN,CLOSE,HIGH,LOW,VOLUME,Return,QPL,QPL+,QPL-,MA5,MA21,RSI
2230.94000000000005457,2196.80999999999994543,2244.36000000000012733,2190.23999999999978172,12919,,2241.50007456541243300,2237.86048297596880730,2224.04091830663355722,2196.80999999999994543,2196.80999999999994543,
2235.59999999999990905,2266.34000000000014552,2276.90000000000009095,2231.42000000000007276,12397,0.03165043859050187,2246.18213250846565643,2242.53493851967141381,2228.68650746604998858,2231.57499999999981810,2231.57499999999981810,
2325.44999999999981810,2289.11999999999989086,2325.44999999999981810,2281.98999999999978172,10967,0.01005144859112028,2336.45743426454237124,2332.66365753290847351,2318.25865037883613695,2250.75666666666666060,2250.75666666666666060,
2358.71000000000003638,2348.36999999999989086,2367.53999999999996362,2342.50000000000000000,10874,0.02588330886978407,2369.87486928298585553,2366.02683164955033135,2351.41579532351352100,2275.15999999999985448,2275.15999999999985448,
2305.17000000000007276,2332.55999999999994543,2333.23999999999978172,2289.92000000000007276,10093,-0.00673232923261669,2316.08143961108407893,2312.32074799936981435,2298.04136536746955244,2286.64000000000032742,2286.64000000000032742,
2321.42999999999983629,2312.55000000000018190,2331.51000000000021828,2304.82000000000016371,10050,-0.00857855746475966,2332.41840573856097762,2328.63118729992856970,2314.25108204818025115,2309.78800000000001091,2290.95833333333348492,
2313.75000000000000000,2304.88999999999987267,2320.50000000000000000,2253.50000000000000000,12550,-0.00331236081382036,2324.70205273370129362,2320.92736357125158975,2306.59483210304779277,2317.49800000000004729,2292.94857142857154031,
2360.21000000000003638,2340.50000000000000000,2378.94000000000005457,2332.50000000000000000,9857,0.01544976115996866,2371.38196947924734559,2367.53148472155771742,2352.91115664092239967,2327.77399999999988722,2298.89249999999992724,
2363.59999999999990905,2351.21000000000003638,2378.63999999999987267,2343.09999999999990905,10651,0.00457594531083094,2374.78801592279887700,2370.93200066429380968,2356.29067321826596526,2328.34200000000009823,2304.70555555555529281,
2384.34999999999990905,2388.76999999999998181,2400.61000000000012733,2370.96999999999979991,11556,0.01597475342483223,2395.63623530441918774,2391.74636816039492260,2376.97650477575416517,2339.58400000000028740,2313.11200000000008004,
2392.09000000000014552,2355.98000000000001819,2428.26000000000021828,2350.67999999999983629,12054,-0.01372672965584798,2403.41287231713022265,2399.51037801195252541,2384.69256917358370629,2348.26999999999998181,2317.00909090909090082,
2312.50000000000000000,2287.71000000000003638,2313.90999999999985448,2282.61999999999989086,9591,-0.02897732578375023,2323.44613590348308207,2319.67348601124558627,2305.34869767187365142,2344.83399999999983265,2314.56750000000010914,
2299.82999999999992724,2306.51000000000021828,2321.76999999999998181,2293.50000000000000000,9045,0.00821782481171129,2310.71616291239251950,2306.96418306302393830,2292.71787907749421720,2338.03600000000005821,2313.94769230769225032,
2263.71999999999979991,2296.51000000000021828,2302.84000000000014552,2257.40000000000009095,10542,-0.00433555458246437,2274.43523752105193125,2270.74216810956795598,2256.71954762973973629,2327.09600000000000364,2312.70214285714291691,
2270.03000000000020009,2248.90000000000009095,2285.69000000000005457,2237.50000000000000000,12014,-0.02073145773369156,2280.77510567999297564,2277.07174203247905098,2263.01003423830661632,2299.12200000000029831,2308.44866666666666788,55.70674204079845282
2269.07999999999992724,2273.78999999999996362,2277.00000000000000000,2241.92000000000007276,10706,0.01106763306505387,2279.82060888902697116,2276.11879508687434281,2262.06297207061379595,2282.68400000000019645,2306.28250000000025466,50.90467516697022887
2289.51000000000021828,2275.32999999999992724,2294.50000000000000000,2253.50000000000000000,11990,0.00067728330232786,2300.34731356211204911,2296.61216992761410438,2282.42979321372195045,2280.20800000000008367,2304.46176470588216034,48.23436019564160659
2271.05999999999994543,2287.59999999999990905,2300.44000000000005457,2270.50000000000000000,10528,0.00539262436657539,2281.80998114809244726,2278.10493714192398329,2264.03684900959342485,2276.42600000000038563,2303.52499999999963620,41.15506651529706517
2286.63000000000010914,2279.55000000000018190,2288.46999999999979991,2267.50000000000000000,9033,-0.00351897184822514,2297.45368118528949708,2293.72323602935966846,2279.55869948429699434,2273.03400000000010550,2302.26315789473665063,42.10620365130895948
2253.59999999999990905,2281.21000000000003638,2293.07000000000016371,2248.69000000000005457,10376,0.00072821390186650,2264.26733486360626557,2260.59077538375913718,2246.63084327495516845,2279.49600000000009459,2301.21050000000013824,45.06332304202631178
2261.05999999999994543,2239.40999999999985448,2262.57000000000016371,2232.88000000000010914,6236,-0.01832360896191065,2271.76264650634766440,2268.07391666187550072,2254.06777356020165826,2272.61999999999989086,2298.26761904761906408,40.68722266469450233
2248.11000000000012733,2250.76000000000021828,2260.50000000000000000,2240.50000000000000000,4594,0.00506829923953211,2258.75134814528837524,2255.08374514021261348,2241.15782085323962747,2267.70600000000013097,2300.83666666666658784,36.29086465016808916
2252.44999999999981810,2235.61999999999989086,2253.65999999999985448,2224.53999999999996362,3960,-0.00672661678721864,2263.11189137980545638,2259.43720802855341390,2245.48439959827510393,2257.30999999999994543,2299.37380952380954113,32.57769873089561941
2247.69000000000005457,2262.30000000000018190,2265.90999999999985448,2233.51999999999998181,3583,0.01193404961487210,2258.32936009033528535,2254.66244228005052719,2240.73911968436505049,2253.86000000000012733,2298.09666666666680612,30.29141343306848455
2259.15000000000009095,2249.26000000000021828,2266.65000000000009095,2239.65000000000009095,3976,-0.00576404544048092,2269.84360558977459732,2266.15799175018628375,2252.16368014936824693,2247.47000000000025466,2293.37714285714264406,32.27831285287288665
